_dt_AverageTemperature
128607_1743-11-01_7.541
128608_1743-12-01_
128609_1744-01-01_
128610_1744-02-01_
128611_1744-03-01_
128612_1744-04-01_8.296
128613_1744-05-01_10.966
128614_1744-06-01_14.522
128615_1744-07-01_15.964000000000002
128616_1744-08-01_
128617_1744-09-01_13.064
128618_1744-10-01_9.597
128619_1744-11-01_6.55
128620_1744-12-01_3.752
128621_1745-01-01_2.548
128622_1745-02-01_2.196
128623_1745-03-01_4.2780000000000005
128624_1745-04-01_7.49
128625_1745-05-01_
128626_1745-06-01_
128627_1745-07-01_
128628_1745-08-01_
128629_1745-09-01_
128630_1745-10-01_
128631_1745-11-01_
128632_1745-12-01_
128633_1746-01-01_
128634_1746-02-01_
128635_1746-03-01_
128636_1746-04-01_
128637_1746-05-01_
128638_1746-06-01_
128639_1746-07-01_
128640_1746-08-01_
128641_1746-09-01_
128642_1746-10-01_
128643_1746-11-01_
128644_1746-12-01_
128645_1747-01-01_
128646_1747-02-01_
128647_1747-03-01_
128648_1747-04-01_
128649_1747-05-01_
128650_1747-06-01_
128651_1747-07-01_
128652_1747-08-01_
128653_1747-09-01_
128654_1747-10-01_
128655_1747-11-01_
128656_1747-12-01_
128657_1748-01-01_
128658_1748-02-01_
128659_1748-03-01_
128660_1748-04-01_
128661_1748-05-01_
128662_1748-06-01_
128663_1748-07-01_
128664_1748-08-01_
128665_1748-09-01_
128666_1748-10-01_
128667_1748-11-01_
128668_1748-12-01_
128669_1749-01-01_
128670_1749-02-01_
128671_1749-03-01_
128672_1749-04-01_
128673_1749-05-01_
128674_1749-06-01_
128675_1749-07-01_
128676_1749-08-01_
128677_1749-09-01_
128678_1749-10-01_
128679_1749-11-01_
128680_1749-12-01_
128681_1750-01-01_2.9560000000000004
128682_1750-02-01_6.598
128683_1750-03-01_8.187000000000001
128684_1750-04-01_8.285
128685_1750-05-01_11.968
128686_1750-06-01_14.753
128687_1750-07-01_18.251
128688_1750-08-01_16.474
128689_1750-09-01_14.300999999999998
128690_1750-10-01_7.739
128691_1750-11-01_
128692_1750-12-01_3.2230000000000003
128693_1751-01-01_3.535
128694_1751-02-01_1.3169999999999995
128695_1751-03-01_6.9620000000000015
128696_1751-04-01_7.386
128697_1751-05-01_
128698_1751-06-01_15.1
128699_1751-07-01_16.570999999999998
128700_1751-08-01_16.426000000000002
128701_1751-09-01_12.614
128702_1751-10-01_
128703_1751-11-01_
128704_1751-12-01_
128705_1752-01-01_3.354
128706_1752-02-01_
128707_1752-03-01_6.393000000000002
128708_1752-04-01_7.441
128709_1752-05-01_
128710_1752-06-01_
128711_1752-07-01_
128712_1752-08-01_
128713_1752-09-01_
128714_1752-10-01_9.573
128715_1752-11-01_7.282
128716_1752-12-01_5.21
128717_1753-01-01_0.875
128718_1753-02-01_3.743
128719_1753-03-01_7.2
128720_1753-04-01_8.029
128721_1753-05-01_11.809
128722_1753-06-01_16.255
128723_1753-07-01_16.996000000000002
128724_1753-08-01_15.543
128725_1753-09-01_14.056
128726_1753-10-01_10.296
128727_1753-11-01_4.956
128728_1753-12-01_3.298
128729_1754-01-01_2.974
128730_1754-02-01_2.293
128731_1754-03-01_2.8950000000000005
128732_1754-04-01_7.667999999999999
128733_1754-05-01_12.695
128734_1754-06-01_14.885
128735_1754-07-01_15.708000000000002
128736_1754-08-01_16.553
128737_1754-09-01_13.401
128738_1754-10-01_10.746
128739_1754-11-01_6.67
128740_1754-12-01_3.891
128741_1755-01-01_-0.0439999999999996
128742_1755-02-01_0.601
128743_1755-03-01_4.255000000000001
128744_1755-04-01_10.382
128745_1755-05-01_11.071
128746_1755-06-01_17.02
128747_1755-07-01_16.860000000000007
128748_1755-08-01_15.07
128749_1755-09-01_12.774
128750_1755-10-01_9.304
128751_1755-11-01_5.877999999999999
128752_1755-12-01_4.218
128753_1756-01-01_5.603
128754_1756-02-01_5.808
128755_1756-03-01_5.6800000000000015
128756_1756-04-01_6.69
128757_1756-05-01_10.834
128758_1756-06-01_16.285
